fips,total_events,events_with_damage,total_damage_units,total_weighted_damage_units,total_DS1_units,total_DS2_units,total_DS3_units,total_DS4_units,pct_events_with_damage,total_units,damage_units_per_total,weighted_damage_per_total,pct_housing_affected
13063,3,0,0,0.0,0,0,0,0,0.0,114179.0,0.0,0.0,0.0
13065,101,82,38420,103358.0,6927,6410,20159,4924,81.18811881188118,3835.0,10.01825293350717,26.951238591916557,1001.8252933507171
13069,69,56,102742,241314.0,29683,25277,33446,14336,81.15942028985508,22635.0,4.539076651203888,10.661100066269052,453.9076651203888
13071,78,58,117313,310962.0,26273,15613,61162,14265,74.35897435897436,25374.0,4.623354614960196,12.255143059825018,462.33546149601955
13073,11,6,5460,5480.0,2315,3135,10,0,54.54545454545455,59330.0,0.09202764200235969,0.09236473959211192,9.202764200235968
13075,70,55,67508,190858.0,11250,13522,30110,12626,78.57142857142857,9714.0,6.949557339921762,19.647724933086266,694.9557339921762
13077,2,1,962,962.0,817,145,0,0,50.0,59232.0,0.016241220961642357,0.016241220961642357,1.6241220961642358
13079,17,12,19954,39801.0,5848,5978,6931,1197,70.58823529411765,6432.0,3.1023009950248754,6.187966417910448,310.2300995024875
13081,37,28,22050,48545.0,6742,4603,9010,1695,75.67567567567568,11943.0,1.8462697814619442,4.064724106170979,184.62697814619443
13087,98,78,109274,282115.0,25365,19441,49833,14635,79.59183673469387,15775.0,6.927036450079239,17.88367670364501,692.7036450079239
13089,3,0,0,0.0,0,0,0,0,0.0,334773.0,0.0,0.0,0.0
13091,40,28,20555,40938.0,3916,7028,9224,387,70.0,10776.0,1.9074795842613215,3.798997772828508,190.74795842613216
13093,31,19,12269,35361.0,2761,1136,6256,2116,61.29032258064516,5228.0,2.3467865340474368,6.763771996939556,234.67865340474367
13095,52,42,61017,106225.0,16182,28243,12584,4008,80.76923076923077,44062.0,1.3847986927511233,2.410807498524806,138.47986927511232
13097,1,0,0,0.0,0,0,0,0,0.0,58673.0,0.0,0.0,0.0
13099,68,54,31077,78972.0,6513,7254,12885,4425,79.41176470588235,6556.0,4.740237949969494,12.045759609517999,474.0237949969494
13101,95,74,21348,60463.0,4141,2952,10720,3535,77.89473684210526,1463.0,14.591934381408066,41.328092959671906,1459.1934381408066
13103,83,60,205175,481397.0,56928,47594,75681,24972,72.28915662650603,28237.0,7.266175585225059,17.04844707298934,726.6175585225059
13105,3,3,4624,8746.0,2068,495,2061,0,100.0,12915.0,0.35803329461866046,0.6771970576848626,35.80332946186605
13107,42,31,26291,59402.0,4645,8116,11513,2017,73.80952380952381,12658.0,2.0770263864749565,4.692842471164481,207.70263864749566
13109,62,40,29025,71250.0,9767,4762,10085,4411,64.51612903225806,6072.0,4.780138339920948,11.734189723320158,478.0138339920948
13113,2,0,0,0.0,0,0,0,0,0.0,45453.0,0.0,0.0,0.0
13119,3,3,1102,1172.0,120,947,35,0,100.0,14155.0,0.07785234899328859,0.08279759802190038,7.785234899328859
13121,2,1,1,1.0,1,0,0,0,50.0,478007.0,2.0920195729351243e-06,2.0920195729351243e-06,0.00020920195729351242
13125,9,7,1233,2025.0,683,154,396,0,77.77777777777777,1959.0,0.6294027565084227,1.0336906584992342,62.94027565084227
13127,88,67,123668,315793.0,19615,25671,66595,11787,76.13636363636364,42638.0,2.9004174679863035,7.406374595431306,290.04174679863036
13131,91,68,103247,290558.0,21974,14808,48338,18127,74.72527472527473,15016.0,6.875799147575919,19.349893446989878,687.579914757592
13133,5,4,3801,8513.0,1205,240,2356,0,80.0,11448.0,0.3320230607966457,0.7436233403214535,33.20230607966457
13135,1,0,0,0.0,0,0,0,0,0.0,333044.0,0.0,0.0,0.0
13139,1,0,0,0.0,0,0,0,0,0.0,86793.0,0.0,0.0,0.0
13141,10,7,3546,7773.0,799,731,1951,65,70.0,5773.0,0.6142386973843755,1.3464403256539061,61.42386973843755
13145,15,10,5587,6441.0,2934,2226,427,0,66.66666666666667,15818.0,0.3532052092552788,0.40719433556707546,35.32052092552788
13147,3,3,1461,1727.0,748,580,133,0,100.0,16449.0,0.08881998905708553,0.10499118487446045,8.881998905708553
13149,4,2,239,239.0,239,0,0,0,50.0,6491.0,0.036820212602064396,0.036820212602064396,3.6820212602064397
13151,8,4,2453,3135.0,1073,1039,341,0,50.0,87168.0,0.02814106093979442,0.03596503303964758,2.814106093979442
13153,16,13,21465,50344.0,5059,4095,10892,1419,81.25,66769.0,0.32148152585780826,0.7540026059997903,32.14815258578083
13155,51,41,18841,50722.0,3031,3504,9883,2423,80.3921568627451,5463.0,3.4488376349990846,9.284642138019404,344.88376349990847
13157,4,3,3997,5711.0,2213,927,857,0,75.0,31007.0,0.12890637597961752,0.18418421646724933,12.890637597961751
13159,7,5,2226,7633.0,250,297,996,683,71.42857142857143,7785.0,0.2859344894026975,0.980475272960822,28.59344894026975
13161,57,46,34162,80446.0,8890,8751,12107,4414,80.70175438596492,8929.0,3.8259603539030125,9.009519543061932,382.59603539030127
13163,19,13,7329,14253.0,2653,1214,3462,0,68.42105263157895,10187.0,0.7194463531952489,1.399136153921665,71.94463531952489
